state_l,state_s,city,metro,rank,workers,industry,url,website,id,leadership,founded,company
New York,NY,Buffalo,"Buffalo-Cheektowaga-Niagara Falls, NY",3905,22,Logistics & Transportation,logistic-dynamics,logisticdynamics.com,614,Brian Maouad,2003-01-01,Logistic Dynamics
Washington,WA,Seattle,Seattle,3906,600,Real Estate,kidder-mathews,kiddermathews.com,24363,Jeff Lyon,1969-01-01,Kidder Mathews
Massachusetts,MA,Waltham,Boston,3907,175,Food & Beverage,dining-alliance,diningalliance.com,77771,John Davie,1998-01-01,Dining Alliance
Oregon,OR,Salem,"Salem, OR",3908,27,Construction,rich-duncan-construction,richduncanconstruction.com,1121,Richard Duncan,2004-01-01,Rich Duncan Construction
Florida,FL,Palm Beach,Miami,3909,147,Consumer Products & Services,image-skincare-international,imageskincare.com,77776,Janna Ronert,2003-01-01,IMAGE Skincare International
California,CA,Anaheim,Los Angeles,3910,153,IT Services,new-horizons-learning-group,nhlearninggroup.com,38268,Kevin Landry,1982-01-01,New Horizons Learning Group
Texas,TX,Dallas,Dallas,3911,380,Health,homecare-homebase,hchb.com,21732,April Anthony,2001-01-01,Homecare Homebase
Illinois,IL,Elmhurst,Chicago,3912,17,Construction,lizzy-lift,lizzylift.com,77781,Jennifer Lombard,1998-01-01,Lizzy Lift
Pennsylvania,PA,Villanova,Philadelphia,3913,50,Travel & Hospitality,avenue-two-travel,avenuetwotravel.com,44321,Joshua Bush,1987-01-01,Avenue Two Travel
North Carolina,NC,High Point,"Greensboro-High Point, NC",3914,48,Consumer Products & Services,go-forth-pest-control,go-forth.com,77786,Chase Hazelwood,1959-01-01,Go-Forth Pest Control
Mississippi,MS,Flowood,"Jackson, MS",3915,14,Health,chirohealthusa,chirohealthusa.com,25156,Ray Foxworth,2008-01-01,ChiroHealthUSA
Ohio,OH,Westlake,Cleveland,3916,13,Business Products & Services,proforma-asap,http://proforma.com/asap,38246,Pat Lenehan,2002-01-01,Proforma ASAP
Arizona,AZ,Phoenix,Phoenix,3917,15,Consumer Products & Services,modern-flames,modernflames.com,26586,Kris Richardson,2009-01-01,Modern Flames
Arizona,AZ,Scottsdale,Phoenix,3918,41,Business Products & Services,pragmatic-marketing,pragmaticmarketing.com,3387,James Foxworthy,1993-01-01,Pragmatic Marketing
South Carolina,SC,Greenville,"Greenville-Anderson-Mauldin, SC",3919,59,Financial Services,sandlapper-securities,sandlappersecurities.com,23478,Trevor Gordon,2005-01-01,SANDLAPPER Securities
New York,NY,New York City,New York City,3920,23,IT Services,tekconn-services,tekconn.com,25858,Stephen Dike,2004-01-01,TEKConn Services
Florida,FL,Clermont,"Orlando, FL",3921,59,Construction,roof-commander,roofcommander.com,77791,Brandon Losik,2011-01-01,Roof Commander
Georgia,GA,Atlanta,Atlanta,3922,32,Construction,profloors,profloorsllc.com,18313,Profloors Team,2002-01-01,ProFloors
North Carolina,NC,Emerald Isle,"Morehead City, NC",3923,33,Logistics & Transportation,transportation-impact,transportationimpact.com,23261,Keith Byrd,2008-01-01,Transportation Impact
Florida,FL,Jacksonville,"Jacksonville, FL",3924,87,IT Services,iventure-solutions,iventuresolutions.com,1448,Gray Mabry,2000-01-01,iVenture Solutions
Ohio,OH,WESTLAKE,Cleveland,3925,53,Health,echo-health,echohealthinc.com,21880,William Davis,1999-01-01,Echo Health
North Dakota,ND,Fargo,"Fargo, ND-MN",3926,62,Software,pedigree-technologies,pedigreetechnologies.com,21993,Wade Wilson,2004-01-01,Pedigree Technologies
Florida,FL,Coral Springs,Miami,3927,95,Travel & Hospitality,cruise-planners-an-american-express-travel-representative,cruiseplanners.com,24496,Michelle Fee,1994-01-01,"Cruise Planners, an American Express Travel Representative"
Georgia,GA,Atlanta,Atlanta,3928,700,IT Services,kms-technology,kms-technology.com,26099,Vu Lam,2009-01-01,KMS Technology
Ohio,OH,Loveland,Cincinnati,3929,40,Environmental Services,oasis-turf-tree,oasisturf.com,25927,Rob Reindl,1996-01-01,Oasis Turf & Tree
Illinois,IL,prairie view,Chicago,3930,75,Business Products & Services,fiore-nursery-landscape-supply,cjfiore.com,77796,Lisa Fiore,1916-01-01,Fiore Nursery & Landscape Supply
California,CA,Chino Hills,Los Angeles,3931,1025,Health,peoples-care,peoplescare.com,2567,Michael Kaiser,1998-01-01,People's Care
Illinois,IL,Park Ridge,Chicago,3932,18,IT Services,itegria,itegria.com,44202,Richard Mabbun,2007-01-01,ITEGRIA
Virginia,VA,Chesapeake,"Virginia Beach-Norfolk-Newport News, VA-NC",3933,97,Software,cdyne,cdyne.com,21455,Christopher Chenoweth,1999-01-01,CDYNE
Tennessee,TN,Franklin,Nashville,3934,15,Human Resources,work-institute,workinstitute.com,77801,Danny Nelms,2001-01-01,Work Institute
